epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.44977,0.91227,17.2611,0.98203,0.00066,0.2069,0.00153,0.00078,1.16124,3.36298,1.286,0.0678919,0.000324324,0.000324324
2,9.89832,1.10041,4.21322,0.99237,0.04335,0.51724,0.22669,0.15737,0.88155,3.18289,0.87063,0.0348485,0.000614252,0.000614252
3,14.3661,1.14338,3.04445,1.17016,0.55261,0.24138,0.27105,0.14716,1.3082,3.16042,1.24027,0.00176108,0.00086018,0.00086018
4,18.7256,1.08907,2.70833,1.06515,0.66667,0.34483,0.46202,0.28613,0.9278,5.34848,0.88916,0.000802,0.000802,0.000802
5,23.0565,0.90887,2.30733,0.92724,0.45261,0.51724,0.43269,0.28686,0.93643,3.3172,0.90251,0.000736,0.000736,0.000736
6,41.1742,0.89225,1.95926,0.96249,0.53295,0.58621,0.63801,0.43602,1.03154,2.67938,1.07626,0.00067,0.00067,0.00067
7,45.4842,0.76191,2.04362,0.83387,0.43972,0.65517,0.56981,0.40495,0.95581,3.04382,0.96855,0.000604,0.000604,0.000604
8,49.957,0.80144,1.87329,0.89263,0.55317,0.48276,0.52573,0.34561,1.01763,2.51718,1.00669,0.000538,0.000538,0.000538
9,54.3766,0.79858,1.74267,0.89068,0.66803,0.51724,0.5644,0.40593,0.88563,1.97697,0.91541,0.000472,0.000472,0.000472
10,58.5295,0.61635,1.53866,0.76204,0.79574,0.68966,0.73813,0.51904,0.86213,1.04064,0.89394,0.000406,0.000406,0.000406
11,62.7501,0.64044,1.41818,0.73618,0.85474,0.68966,0.77116,0.58063,0.78131,1.25731,0.78879,0.00034,0.00034,0.00034
12,66.8667,0.64103,1.26623,0.77667,0.87282,0.75862,0.8127,0.6272,0.78116,0.83065,0.79444,0.000274,0.000274,0.000274
13,71.0557,0.58722,1.31054,0.74195,0.90445,0.75862,0.80928,0.61448,0.78127,0.79804,0.79294,0.000208,0.000208,0.000208
14,75.266,0.59812,1.17515,0.76805,0.9951,0.72414,0.81684,0.62573,0.77066,0.86008,0.7936,0.000142,0.000142,0.000142
15,80.0097,0.4878,1.02595,0.71275,0.99521,0.72414,0.81491,0.6318,0.7316,0.81059,0.76766,7.6e-05,7.6e-05,7.6e-05
