epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9847,0.73163,56.5152,0.50799,0.00031,0.41379,0.00147,0.00063,1.13956,0.91214,1.15977,0.000657534,0.000657534,0.000657534
2,53.3017,0.36951,1.29,0.25297,0.0741,0.34483,0.10209,0.07965,0.25824,1.51626,0.23049,0.0012368,0.0012368,0.0012368
3,79.3132,0.21805,1.07926,0.13084,0.24031,0.27586,0.25553,0.19516,0.53843,1.31395,0.51219,0.00172807,0.00172807,0.00172807
4,105.753,0.28307,0.90683,0.15319,0.74532,0.40412,0.3974,0.31424,0.63396,0.7523,0.68141,0.001604,0.001604,0.001604
5,132.031,0.27841,1.38361,0.13698,0.36219,0.48276,0.34839,0.26625,0.32364,1.11071,0.18966,0.001472,0.001472,0.001472
6,182.433,0.24559,0.72912,0.15123,0.84158,0.55172,0.60781,0.40765,0.25851,0.99989,0.21341,0.00134,0.00134,0.00134
7,207.892,0.2138,0.50133,0.13972,0.46583,0.7931,0.49292,0.413,0.2429,0.66072,0.16344,0.001208,0.001208,0.001208
8,233.58,0.20397,0.46025,0.12431,0.49423,0.77521,0.5946,0.51647,0.21018,1.2524,0.18515,0.001076,0.001076,0.001076
9,258.755,0.15237,0.57132,0.0775,0.27949,0.72414,0.39754,0.31675,0.32605,1.28553,0.29188,0.000944,0.000944,0.000944
10,282.611,0.14389,0.49392,0.08178,0.45825,0.75837,0.54469,0.44315,0.26905,0.64127,0.2046,0.000812,0.000812,0.000812
11,306.318,0.17105,0.40565,0.12107,0.41683,0.7931,0.47366,0.38624,0.22673,0.91495,0.09879,0.00068,0.00068,0.00068
12,330.275,0.13583,0.485,0.07933,0.6845,0.67363,0.59946,0.50075,0.18568,0.7004,0.09688,0.000548,0.000548,0.000548
13,353.864,0.11261,0.36992,0.05063,0.94643,0.72414,0.78359,0.67915,0.2036,0.50412,0.09137,0.000416,0.000416,0.000416
14,379.303,0.1092,0.31935,0.06334,0.88286,0.7931,0.82566,0.74679,0.15394,0.4766,0.06861,0.000284,0.000284,0.000284
15,404.963,0.10645,0.30224,0.06958,0.92027,0.82759,0.86543,0.76785,0.16316,0.45641,0.06603,0.000152,0.000152,0.000152
