epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.95064,0.99183,19.2925,1.05822,0.00067,0.89655,0.09028,0.06688,0.70336,5.59893,0.70243,0.000648649,0.000648649,0.000648649
2,10.864,0.96844,13.7873,1.06035,0.27603,0.17241,0.11873,0.0668,1.09706,6.23185,1.09586,0.0012285,0.0012285,0.0012285
3,14.7377,1.14224,15.3736,1.10908,0.50715,0.2069,0.1922,0.11317,1.2212,6.2789,1.28039,0.00172036,0.00172036,0.00172036
4,18.6014,1.26895,11.3028,1.21612,0.41507,0.34483,0.36781,0.22489,1.2898,30.0954,1.41276,0.001604,0.001604,0.001604
5,22.5216,1.60259,10.5421,1.39874,0.36386,0.51724,0.40564,0.24709,1.06052,15.637,1.14154,0.001472,0.001472,0.001472
6,41.4276,1.12518,10.1353,1.08321,0.54851,0.41379,0.45415,0.29278,1.00048,8.71359,1.11223,0.00134,0.00134,0.00134
7,45.0816,1.02258,10.3113,0.9411,0.00495,0.37931,0.00378,0.00221,1.38581,32.6323,1.72986,0.001208,0.001208,0.001208
8,48.7451,1.02355,7.10159,1.0508,0.61079,0.51724,0.54142,0.28913,0.99972,1.53968,1.12935,0.001076,0.001076,0.001076
9,52.3488,0.98129,6.20425,0.89529,0.41221,0.65517,0.44633,0.31928,0.99865,1.69911,1.11949,0.000944,0.000944,0.000944
10,56.0312,0.90958,5.20785,0.868,0.7222,0.72414,0.7251,0.4987,0.86136,1.00063,0.87229,0.000812,0.000812,0.000812
11,59.6717,0.79569,4.64427,0.81148,0.83751,0.72414,0.82587,0.63449,0.83518,0.90059,0.84392,0.00068,0.00068,0.00068
12,63.4173,0.90309,4.01034,0.95856,0.96205,0.7931,0.87719,0.67612,0.75591,0.74668,0.81632,0.000548,0.000548,0.000548
13,67.0982,0.74098,3.75694,0.77832,0.92531,0.85466,0.89418,0.7154,0.69037,0.70929,0.75521,0.000416,0.000416,0.000416
14,70.8383,0.80102,3.34358,0.85496,0.99845,0.7931,0.86445,0.69824,0.65698,0.72207,0.73694,0.000284,0.000284,0.000284
15,74.5692,0.69156,3.12407,0.74614,1,0.82527,0.86051,0.72977,0.59756,0.66383,0.72092,0.000152,0.000152,0.000152
